data-time,wind,ap,tmp,humi
2018-08-29-11:00:00,5.16,1008.86,302.65,45.0
2018-08-29-12:00:00,4.38,1009.55,302.05,47.0
2018-08-29-13:00:00,3.87,1009.86,301.75,48.0
2018-08-29-14:00:00,3.05,1010.06,301.55,48.0
2018-08-29-15:00:00,1.93,1010.55,301.45,48.0
2018-08-29-16:00:00,2.66,1011.06,298.55,65.0
2018-08-29-17:00:00,3.06,1010.96,297.65,70.0
2018-08-29-18:00:00,2.86,1010.85,297.65,70.0
2018-08-29-19:00:00,2.2,1010.65,297.25,72.0
2018-08-29-20:00:00,2.21,1010.85,297.15,74.0
2018-08-29-21:00:00,2.21,1010.55,296.35,79.0
2018-08-29-22:00:00,1.92,1011.15,296.85,76.0
2018-08-29-23:00:00,1.66,1011.86,296.75,77.0
2018-08-30-00:00:01,2.55,1012.36,296.85,77.0
2018-08-30-01:00:00,2.23,1012.96,295.35,85.0
2018-08-30-02:00:00,2.69,1013.56,295.55,87.0
2018-08-30-03:00:00,1.94,1013.46,295.75,83.0
2018-08-30-04:00:00,1.7,1013.36,296.25,82.0
2018-08-30-05:00:00,2.6,1012.96,297.65,74.0
2018-08-30-06:00:00,2.8,1012.97,298.05,70.0
2018-08-30-07:00:00,3.27,1012.27,299.05,61.0
2018-08-30-08:00:00,2.87,1011.87,299.45,51.0
2018-08-30-09:00:00,2.29,1011.97,299.15,53.0
2018-08-30-10:00:00,2.83,1011.57,299.55,49.0
2018-08-30-11:00:00,1.86,1011.85,298.45,53.0
2018-08-30-12:00:00,1.26,1012.45,297.05,63.0
2018-08-30-13:00:00,2.14,1013.15,297.75,62.0
2018-08-30-14:00:00,0.98,1013.35,295.45,73.0
2018-08-30-15:00:00,2.21,1013.65,294.75,75.0
2018-08-30-16:00:00,1.86,1013.75,294.05,79.0
2018-08-30-17:00:00,1.63,1013.75,293.95,81.0
2018-08-30-18:00:00,1.87,1013.55,293.15,83.0
2018-08-30-19:00:00,1.78,1013.75,293.15,85.0
2018-08-30-20:00:00,1.9,1013.85,292.75,84.0
2018-08-30-21:00:00,1.69,1014.05,292.15,85.0
2018-08-30-22:00:00,2.13,1014.25,292.35,85.0
2018-08-30-23:00:00,2.22,1014.65,293.95,78.0
2018-08-31-00:00:01,2.96,1014.86,295.95,72.0
2018-08-31-01:00:00,3.39,1014.87,298.65,64.0
2018-08-31-02:00:00,3.65,1014.87,299.45,64.0
2018-08-31-03:00:00,2.78,1014.68,301.35,52.0
2018-08-31-04:00:00,1.84,1014.28,302.05,49.0
2018-08-31-05:00:00,2.17,1013.88,302.65,47.0
2018-08-31-06:00:00,2.71,1013.48,303.55,42.0
2018-08-31-07:00:00,3.44,1012.88,304.05,40.0
2018-08-31-08:00:00,2.93,1012.78,303.85,38.0
2018-08-31-09:00:00,4.38,1012.78,303.75,40.0
2018-08-31-10:00:00,4.63,1012.88,303.15,40.0
2018-08-31-11:00:00,4.47,1013.07,302.25,44.0
2018-08-31-12:00:00,3.92,1013.56,301.25,49.0
2018-08-31-13:00:00,3.12,1014.66,300.05,54.0
2018-08-31-14:00:00,2.52,1014.76,299.65,60.0
2018-08-31-15:00:00,2.74,1014.76,297.95,65.0
2018-08-31-16:00:00,2.62,1015.06,296.05,77.0
2018-08-31-17:00:00,4.64,1014.86,296.25,81.0
2018-08-31-18:00:00,3.63,1014.86,296.25,82.0
2018-08-31-19:00:00,2.67,1015.16,295.95,84.0
2018-08-31-20:00:00,2.62,1014.76,295.45,86.0
2018-08-31-21:00:00,2.02,1014.56,295.15,88.0
2018-08-31-22:00:00,2.28,1014.96,295.05,88.0
2018-08-31-23:00:00,2.33,1015.36,295.75,85.0
2018-09-01-00:00:01,2.15,1015.37,296.85,80.0
2018-09-01-01:00:00,2.27,1014.97,297.95,77.0
2018-09-01-02:00:00,3.68,1014.47,299.55,64.0
2018-09-01-03:00:00,3.86,1014.18,299.95,64.0
2018-09-01-04:00:00,3.87,1013.38,301.15,54.0
2018-09-01-05:00:00,4.19,1012.58,301.55,51.0
2018-09-01-06:00:00,5.28,1011.77,302.25,45.0
2018-09-01-07:00:00,4.81,1010.97,302.05,43.0
2018-09-01-08:00:00,4.83,1010.77,301.45,50.0
2018-09-01-09:00:00,4.2,1010.37,301.15,51.0
2018-09-01-10:00:00,4.97,1010.16,299.85,58.0
2018-09-01-11:00:00,4.9,1009.86,299.65,60.0
2018-09-01-12:00:00,5.01,1009.76,298.85,62.0
2018-09-01-13:00:00,3.76,1009.66,298.65,64.0
2018-09-01-14:00:00,4.19,1009.15,299.15,62.0
2018-09-01-15:00:00,4.73,1008.55,298.65,66.0
2018-09-01-16:00:00,3.66,1008.05,297.15,72.0
2018-09-01-17:00:00,3.75,1007.54,295.15,83.0
2018-09-01-18:00:00,2.53,1007.14,294.65,86.0
2018-09-01-19:00:00,4.33,1006.43,293.95,88.0
2018-09-01-20:00:00,4.88,1005.83,293.55,90.0
2018-09-01-21:00:00,4.35,1005.53,293.45,91.0
2018-09-01-22:00:00,4.58,1005.53,293.15,92.0
2018-09-01-23:00:00,4.61,1005.53,294.05,92.0
2018-09-02-00:00:01,4.94,1005.03,294.15,91.0
2018-09-02-01:00:00,3.93,1005.03,294.35,90.0
2018-09-02-02:00:00,2.77,1004.84,294.85,88.0
2018-09-02-03:00:00,3.0,1004.34,295.85,84.0
2018-09-02-04:00:00,0.73,1003.44,297.45,79.0
2018-09-02-05:00:00,1.56,1002.74,298.65,72.0
2018-09-02-06:00:00,1.92,1002.74,299.45,69.0
2018-09-02-07:00:00,1.57,1002.15,300.15,65.0
2018-09-02-08:00:00,3.14,1001.64,299.85,66.0
2018-09-02-09:00:00,4.3,1001.94,299.65,67.0
2018-09-02-10:00:00,4.14,1001.84,299.35,70.0
2018-09-02-11:00:00,3.09,1002.34,298.85,73.0
2018-09-02-12:00:00,3.21,1002.84,297.35,82.0
2018-09-02-13:00:00,4.24,1003.14,296.75,83.0
2018-09-02-14:00:00,3.31,1003.14,296.65,84.0
2018-09-02-15:00:00,2.28,1002.84,296.55,85.0
2018-09-02-16:00:00,1.49,1002.73,296.05,87.0
2018-09-02-17:00:00,2.14,1002.63,296.15,87.0
2018-09-02-18:00:00,1.69,1002.33,295.95,88.0
2018-09-02-19:00:00,1.48,1002.23,295.65,89.0
2018-09-02-20:00:00,1.1,1001.83,295.45,89.0
2018-09-02-21:00:00,1.41,1002.03,295.65,89.0
2018-09-02-22:00:00,0.89,1001.73,295.25,90.0
2018-09-02-23:00:00,1.54,1001.93,295.45,89.0
2018-09-03-00:00:01,1.35,1002.14,296.35,85.0
2018-09-03-01:00:00,2.02,1002.45,299.95,55.0
2018-09-03-02:00:00,5.01,1002.35,302.05,35.0
2018-09-03-03:00:00,5.51,1002.36,302.65,32.0
2018-09-03-04:00:00,9.24,1002.46,302.85,33.0
2018-09-03-05:00:00,6.76,1002.36,303.45,33.0
2018-09-03-06:00:00,6.14,1001.96,303.55,31.0
2018-09-03-07:00:00,6.14,1001.76,304.65,30.0
2018-09-03-08:00:00,7.11,1002.06,303.75,29.0
2018-09-03-09:00:00,7.13,1002.46,302.95,31.0
2018-09-03-10:00:00,6.4,1002.65,301.95,31.0
2018-09-03-11:00:00,7.49,1003.45,300.35,32.0
2018-09-03-12:00:00,4.8,1004.45,299.35,33.0
2018-09-03-13:00:00,4.04,1004.85,298.05,37.0
2018-09-03-14:00:00,5.97,1004.85,298.65,35.0
2018-09-03-15:00:00,5.63,1004.85,298.55,36.0
2018-09-03-16:00:00,4.63,1004.85,297.95,39.0
2018-09-03-17:00:00,4.35,1004.75,297.25,42.0
2018-09-03-18:00:00,3.86,1004.74,296.15,45.0
2018-09-03-19:00:00,4.12,1004.84,295.85,46.0
2018-09-03-20:00:00,4.32,1004.84,295.95,45.0
2018-09-03-21:00:00,4.94,1004.84,295.45,46.0
2018-09-03-22:00:00,4.54,1005.44,295.25,46.0
2018-09-03-23:00:00,2.53,1005.65,296.55,42.0
2018-09-04-00:00:01,4.45,1005.75,299.25,36.0
2018-09-04-01:00:00,5.18,1005.66,300.85,32.0
2018-09-04-02:00:00,4.15,1005.66,301.85,31.0
2018-09-04-03:00:00,4.63,1005.26,302.65,30.0
2018-09-04-04:00:00,5.68,1004.56,302.65,29.0
2018-09-04-05:00:00,6.28,1003.86,303.65,28.0
2018-09-04-06:00:00,6.39,1003.06,303.65,27.0
2018-09-04-07:00:00,6.17,1002.26,304.55,28.0
2018-09-04-08:00:00,6.36,1001.96,304.75,27.0
2018-09-04-09:00:00,4.07,1001.96,304.85,26.0
2018-09-04-10:00:00,3.14,1002.36,303.35,28.0
2018-09-04-11:00:00,2.43,1002.55,302.05,33.0
2018-09-04-12:00:00,4.01,1003.25,300.05,35.0
2018-09-04-13:00:00,3.52,1003.85,300.45,30.0
2018-09-04-14:00:00,3.36,1004.23,296.75,46.0
2018-09-04-15:00:00,2.42,1004.33,297.85,39.0
2018-09-04-16:00:00,1.2,1004.24,297.65,41.0
2018-09-04-17:00:00,1.28,1004.42,294.75,54.0
2018-09-04-18:00:00,1.71,1004.62,295.05,52.0
2018-09-04-19:00:00,1.22,1004.72,294.65,53.0
2018-09-04-20:00:00,2.51,1004.83,294.55,59.0
2018-09-04-21:00:00,2.4,1005.02,292.35,73.0
2018-09-04-22:00:00,2.58,1005.42,292.05,73.0
2018-09-04-23:00:00,2.01,1005.53,294.65,65.0
2018-09-05-00:00:01,3.69,1005.84,296.25,50.0
2018-09-05-01:00:00,2.38,1006.25,298.95,44.0
2018-09-05-02:00:00,2.26,1006.26,300.85,38.0
2018-09-05-03:00:00,3.53,1005.26,303.55,32.0
2018-09-05-04:00:00,2.87,1004.36,304.25,29.0
2018-09-05-05:00:00,3.35,1003.47,305.55,27.0
2018-09-05-06:00:00,2.01,1002.37,306.65,23.0
2018-09-05-07:00:00,4.69,1001.87,306.85,23.0
2018-09-05-08:00:00,5.36,1001.36,306.05,23.0
2018-09-05-09:00:00,5.97,1001.16,306.05,25.0
2018-09-05-10:00:00,6.11,1000.96,304.95,24.0
2018-09-05-11:00:00,4.98,1000.54,303.75,28.0
2018-09-05-12:00:00,3.58,1001.05,302.85,32.0
2018-09-05-13:00:00,3.6,1001.14,302.35,36.0
2018-09-05-14:00:00,2.07,1001.15,301.45,39.0
2018-09-05-15:00:00,2.57,1000.43,301.15,41.0
2018-09-05-16:00:00,1.55,1000.43,296.95,61.0
2018-09-05-17:00:00,1.5,1000.12,297.35,60.0
2018-09-05-18:00:00,2.02,999.72,294.25,73.0
2018-09-05-19:00:00,4.15,1000.32,293.95,75.0
2018-09-05-20:00:00,3.1,1000.82,293.55,67.0
2018-09-05-21:00:00,4.85,1001.32,297.05,30.0
2018-09-05-22:00:00,3.91,1001.54,297.05,32.0
2018-09-05-23:00:00,3.48,1002.04,296.85,31.0
2018-09-06-00:00:01,5.39,1002.44,298.55,27.0
2018-09-06-01:00:00,7.36,1002.95,299.35,26.0
2018-09-06-02:00:00,8.03,1003.25,299.15,26.0
2018-09-06-03:00:00,10.12,1003.45,299.15,26.0
2018-09-06-04:00:00,10.59,1003.35,298.85,27.0
2018-09-06-05:00:00,8.88,1003.25,299.45,28.0
2018-09-06-06:00:00,7.13,1003.05,299.95,28.0
2018-09-06-07:00:00,8.72,1003.15,300.55,27.0
2018-09-06-08:00:00,8.57,1003.55,300.05,29.0
2018-09-06-09:00:00,8.06,1004.65,299.15,30.0
2018-09-06-10:00:00,9.2,1005.35,298.15,31.0
2018-09-06-11:00:00,5.26,1006.45,296.35,36.0
2018-09-06-12:00:00,3.54,1007.65,295.45,38.0
2018-09-06-13:00:00,3.61,1008.35,295.05,39.0
2018-09-06-14:00:00,5.23,1008.65,295.25,36.0
2018-09-06-15:00:00,4.96,1009.45,294.65,33.0
2018-09-06-16:00:00,3.47,1010.04,293.45,38.0
2018-09-06-17:00:00,3.18,1010.74,292.05,44.0
2018-09-06-18:00:00,2.77,1010.93,291.65,45.0
2018-09-06-19:00:00,3.35,1011.44,289.65,56.0
2018-09-06-20:00:00,2.3,1011.73,290.95,51.0
2018-09-06-21:00:00,2.11,1012.54,290.45,53.0
2018-09-06-22:00:00,2.12,1013.23,290.35,55.0
2018-09-06-23:00:00,4.53,1013.75,293.45,45.0
2018-09-07-00:00:01,5.06,1013.86,295.25,41.0
2018-09-07-01:00:00,4.79,1014.07,297.65,32.0
2018-09-07-02:00:00,4.63,1013.97,298.35,30.0
2018-09-07-03:00:00,3.25,1013.37,299.45,29.0
2018-09-07-04:00:00,5.77,1012.57,299.55,30.0
2018-09-07-05:00:00,5.3,1011.97,301.15,27.0
2018-09-07-06:00:00,4.92,1011.37,302.05,24.0
2018-09-07-07:00:00,6.19,1011.17,300.85,27.0
2018-09-07-08:00:00,4.81,1010.97,301.15,26.0
2018-09-07-09:00:00,5.49,1010.97,300.95,27.0
2018-09-07-10:00:00,2.71,1011.36,298.35,32.0
2018-09-07-11:00:00,3.13,1012.05,295.65,38.0
2018-09-07-12:00:00,3.55,1013.05,294.55,40.0
2018-09-07-13:00:00,4.56,1013.95,294.55,37.0
2018-09-07-14:00:00,4.15,1014.46,294.65,33.0
2018-09-07-15:00:00,4.3,1014.96,294.75,33.0
2018-09-07-16:00:00,4.01,1015.56,294.05,36.0
2018-09-07-17:00:00,3.82,1015.66,293.95,36.0
2018-09-07-18:00:00,2.92,1015.76,292.95,41.0
2018-09-07-19:00:00,1.71,1016.14,289.05,59.0
2018-09-07-20:00:00,1.37,1016.34,290.35,51.0
2018-09-07-21:00:00,1.94,1016.64,289.65,56.0
2018-09-07-22:00:00,2.77,1017.44,288.75,61.0
2018-09-07-23:00:00,2.41,1018.05,291.15,60.0
2018-09-08-00:00:01,3.02,1018.57,294.05,47.0
2018-09-08-01:00:00,2.24,1019.07,296.35,38.0
2018-09-08-02:00:00,2.21,1019.18,298.15,33.0
2018-09-08-03:00:00,2.79,1018.78,299.15,32.0
2018-09-08-04:00:00,3.33,1018.28,299.55,27.0
2018-09-08-05:00:00,2.83,1017.78,299.15,28.0
2018-09-08-06:00:00,2.08,1017.08,300.15,24.0
2018-09-08-07:00:00,1.86,1016.38,300.25,24.0
2018-09-08-08:00:00,1.82,1015.98,299.85,23.0
2018-09-08-09:00:00,1.83,1015.87,300.65,22.0
2018-09-08-10:00:00,2.66,1015.87,298.45,29.0
2018-09-08-11:00:00,3.4,1016.15,298.75,28.0
2018-09-08-12:00:00,3.89,1016.95,298.15,30.0
2018-09-08-13:00:00,3.4,1017.55,296.25,36.0
2018-09-08-14:00:00,2.63,1017.75,297.45,32.0
2018-09-08-15:00:00,2.77,1018.25,293.45,52.0
2018-09-08-16:00:00,4.94,1018.56,294.15,54.0
2018-09-08-17:00:00,4.07,1018.76,293.55,59.0
2018-09-08-18:00:00,4.16,1019.15,290.75,74.0
2018-09-08-19:00:00,4.3,1019.25,290.65,75.0
2018-09-08-20:00:00,4.04,1019.45,290.35,80.0
2018-09-08-21:00:00,3.86,1019.55,290.05,82.0
2018-09-08-22:00:00,1.14,1019.95,289.55,82.0
2018-09-08-23:00:00,1.6,1020.56,290.95,78.0
2018-09-09-00:00:01,1.68,1020.46,292.45,71.0
2018-09-09-01:00:00,1.52,1020.87,294.35,64.0
2018-09-09-02:00:00,1.19,1020.78,295.45,59.0
2018-09-09-03:00:00,1.9,1020.28,296.95,49.0
2018-09-09-04:00:00,2.54,1019.68,298.45,42.0
2018-09-09-05:00:00,3.88,1019.08,299.05,43.0
2018-09-09-06:00:00,3.5,1018.29,300.55,37.0
2018-09-09-07:00:00,3.73,1017.79,301.35,32.0
2018-09-09-08:00:00,4.29,1017.49,301.35,34.0
2018-09-09-09:00:00,3.42,1017.29,301.15,34.0
2018-09-09-10:00:00,3.95,1017.18,300.65,34.0
2018-09-09-11:00:00,3.87,1017.68,299.35,40.0
2018-09-09-12:00:00,4.38,1018.66,298.85,43.0
2018-09-09-13:00:00,4.12,1019.26,297.85,46.0
2018-09-09-14:00:00,2.9,1019.46,294.65,61.0
2018-09-09-15:00:00,4.24,1019.96,296.65,52.0
2018-09-09-16:00:00,4.32,1020.37,293.35,71.0
2018-09-09-17:00:00,4.03,1020.16,292.95,74.0
2018-09-09-18:00:00,3.37,1020.16,292.05,80.0
2018-09-09-19:00:00,1.74,1020.36,291.45,77.0
2018-09-09-20:00:00,0.96,1020.35,291.15,76.0
2018-09-09-21:00:00,1.64,1020.45,291.15,74.0
2018-09-09-22:00:00,2.43,1020.75,290.85,79.0
2018-09-09-23:00:00,1.67,1021.06,291.95,74.0
2018-09-10-00:00:01,2.19,1021.07,293.45,67.0
2018-09-10-01:00:00,1.68,1021.28,294.85,62.0
2018-09-10-02:00:00,1.32,1021.08,296.25,56.0
2018-09-10-03:00:00,2.15,1020.58,298.05,48.0
2018-09-10-04:00:00,2.07,1019.79,299.45,44.0
2018-09-10-05:00:00,3.33,1019.19,301.15,33.0
2018-09-10-06:00:00,4.58,1018.39,301.35,30.0
2018-09-10-07:00:00,4.88,1017.79,301.25,29.0
2018-09-10-08:00:00,4.07,1017.38,300.95,31.0
2018-09-10-09:00:00,3.04,1017.58,300.35,33.0
2018-09-10-10:00:00,2.85,1017.38,299.25,40.0
2018-09-10-11:00:00,1.91,1017.17,299.25,40.0
2018-09-10-12:00:00,2.35,1017.77,296.95,52.0
2018-09-10-13:00:00,1.78,1017.97,297.55,49.0
2018-09-10-14:00:00,1.33,1017.96,296.65,57.0
2018-09-10-15:00:00,3.87,1017.86,297.35,50.0
2018-09-10-16:00:00,4.29,1017.87,296.55,53.0
2018-09-10-17:00:00,4.12,1017.46,295.95,54.0
2018-09-10-18:00:00,4.32,1017.16,295.65,55.0
2018-09-10-19:00:00,2.89,1016.96,294.75,60.0
2018-09-10-20:00:00,2.57,1016.66,294.15,62.0
2018-09-10-21:00:00,2.78,1016.76,294.05,63.0
2018-09-10-22:00:00,2.14,1016.76,292.85,69.0
2018-09-10-23:00:00,2.74,1017.26,292.95,69.0
2018-09-11-00:00:01,3.76,1017.36,294.65,61.0
2018-09-11-01:00:00,2.94,1017.66,294.55,63.0
2018-09-11-02:00:00,3.24,1017.97,294.95,62.0
2018-09-11-03:00:00,3.04,1017.07,295.65,60.0
2018-09-11-04:00:00,3.08,1015.97,296.75,57.0
2018-09-11-05:00:00,5.14,1015.08,299.45,41.0
2018-09-11-06:00:00,4.84,1014.18,300.05,41.0
2018-09-11-07:00:00,5.33,1013.38,300.35,40.0
2018-09-11-08:00:00,5.94,1013.38,300.65,37.0
2018-09-11-09:00:00,5.95,1013.17,300.05,38.0
2018-09-11-10:00:00,5.67,1013.47,299.55,40.0
2018-09-11-11:00:00,6.91,1014.56,292.65,77.0
2018-09-11-12:00:00,1.41,1014.25,292.15,81.0
2018-09-11-13:00:00,1.92,1015.05,291.75,86.0
2018-09-11-14:00:00,2.2,1014.85,291.45,87.0
2018-09-11-15:00:00,1.54,1014.75,291.05,89.0
2018-09-11-16:00:00,1.64,1014.95,291.15,89.0
2018-09-11-17:00:00,1.76,1014.74,290.75,89.0
2018-09-11-18:00:00,1.82,1014.64,290.55,89.0
2018-09-11-19:00:00,1.62,1014.34,290.45,91.0
2018-09-11-20:00:00,2.81,1014.14,289.85,91.0
2018-09-11-21:00:00,1.55,1014.64,289.85,91.0
2018-09-11-22:00:00,1.99,1015.44,290.15,90.0
2018-09-11-23:00:00,1.9,1015.65,290.75,90.0
2018-09-12-00:00:01,1.91,1015.85,291.55,86.0
2018-09-12-01:00:00,1.94,1015.56,293.85,76.0
2018-09-12-02:00:00,2.49,1015.77,295.85,68.0
2018-09-12-03:00:00,2.49,1015.47,297.15,62.0
2018-09-12-04:00:00,1.76,1014.68,298.25,57.0
2018-09-12-05:00:00,2.58,1014.27,299.85,48.0
2018-09-12-06:00:00,3.74,1013.58,300.15,47.0
2018-09-12-07:00:00,4.1,1013.08,300.75,44.0
2018-09-12-08:00:00,5.46,1012.87,300.65,44.0
2018-09-12-09:00:00,4.78,1012.77,300.35,47.0
2018-09-12-10:00:00,4.63,1012.67,300.05,49.0
2018-09-12-11:00:00,4.51,1012.66,299.25,51.0
2018-09-12-12:00:00,3.24,1013.66,297.95,56.0
2018-09-12-13:00:00,2.61,1014.35,298.35,55.0
2018-09-12-14:00:00,3.56,1014.25,295.55,71.0
2018-09-12-15:00:00,2.9,1014.36,296.35,65.0
2018-09-12-16:00:00,2.46,1014.35,294.65,73.0
2018-09-12-17:00:00,1.6,1014.25,294.15,74.0
2018-09-12-18:00:00,2.0,1014.15,293.85,75.0
2018-09-12-19:00:00,2.0,1014.35,294.35,74.0
2018-09-12-20:00:00,1.83,1014.45,293.45,80.0
2018-09-12-21:00:00,0.78,1014.95,293.15,81.0
2018-09-12-22:00:00,1.56,1015.25,292.45,85.0
2018-09-12-23:00:00,1.91,1015.75,292.35,87.0
2018-09-13-00:00:01,1.83,1016.06,294.45,78.0
2018-09-13-01:00:00,1.63,1016.47,295.85,71.0
2018-09-13-02:00:00,1.81,1016.57,296.65,68.0
2018-09-13-03:00:00,1.95,1016.48,298.45,63.0
2018-09-13-04:00:00,2.16,1016.38,299.85,55.0
2018-09-13-05:00:00,1.47,1015.78,300.65,52.0
2018-09-13-06:00:00,3.36,1015.08,300.65,51.0
2018-09-13-07:00:00,3.45,1014.68,300.95,49.0
2018-09-13-08:00:00,4.09,1014.48,300.85,50.0
2018-09-13-09:00:00,4.33,1014.78,300.65,53.0
2018-09-13-10:00:00,5.07,1014.88,300.25,53.0
2018-09-13-11:00:00,3.92,1015.18,299.95,54.0
2018-09-13-12:00:00,2.32,1015.66,299.25,57.0
2018-09-13-13:00:00,2.52,1015.66,298.95,59.0
2018-09-13-14:00:00,2.27,1015.76,297.45,68.0
2018-09-13-15:00:00,2.58,1015.66,297.75,67.0
2018-09-13-16:00:00,2.09,1015.66,295.75,78.0
2018-09-13-17:00:00,1.85,1015.76,295.45,80.0
2018-09-13-18:00:00,2.03,1015.76,295.35,81.0
2018-09-13-19:00:00,2.24,1015.75,294.15,85.0
2018-09-13-20:00:00,2.1,1015.36,294.25,85.0
2018-09-13-21:00:00,0.9,1015.46,294.15,85.0
2018-09-13-22:00:00,1.3,1015.86,294.35,84.0
2018-09-13-23:00:00,2.18,1016.16,294.45,83.0
2018-09-14-00:00:01,1.75,1016.56,294.65,82.0
2018-09-14-01:00:00,1.72,1016.87,295.65,80.0
2018-09-14-02:00:00,1.91,1016.67,297.55,71.0
2018-09-14-03:00:00,2.1,1016.38,298.85,65.0
2018-09-14-04:00:00,1.67,1016.08,300.25,60.0
2018-09-14-05:00:00,5.01,1014.78,301.25,54.0
2018-09-14-06:00:00,4.54,1014.38,301.85,51.0
2018-09-14-07:00:00,3.91,1013.98,301.55,50.0
2018-09-14-08:00:00,4.26,1013.48,302.05,45.0
2018-09-14-09:00:00,4.07,1013.58,301.25,47.0
2018-09-14-10:00:00,3.82,1013.17,300.65,48.0
2018-09-14-11:00:00,2.65,1013.67,300.15,53.0
2018-09-14-12:00:00,3.08,1014.37,299.35,58.0
2018-09-14-13:00:00,3.31,1014.46,298.65,62.0
2018-09-14-14:00:00,3.54,1014.36,298.25,65.0
2018-09-14-15:00:00,2.72,1014.56,298.35,66.0
2018-09-14-16:00:00,3.13,1014.86,295.95,78.0
2018-09-14-17:00:00,2.59,1014.87,296.55,65.0
2018-09-14-18:00:00,5.53,1015.17,297.05,56.0
2018-09-14-19:00:00,3.85,1016.37,295.35,61.0
2018-09-14-20:00:00,5.27,1016.47,295.15,48.0
2018-09-14-21:00:00,4.86,1017.47,294.05,47.0
2018-09-14-22:00:00,4.92,1018.37,293.75,47.0
2018-09-14-23:00:00,3.49,1019.27,292.85,53.0
2018-09-15-00:00:01,4.76,1019.87,293.45,49.0
2018-09-15-01:00:00,5.34,1020.47,293.45,45.0
2018-09-15-02:00:00,5.25,1020.77,293.85,44.0
2018-09-15-03:00:00,3.73,1020.67,293.95,46.0
2018-09-15-04:00:00,3.94,1020.07,295.05,43.0
2018-09-15-05:00:00,3.72,1019.58,296.15,40.0
2018-09-15-06:00:00,3.76,1019.08,298.15,36.0
2018-09-15-07:00:00,2.24,1018.58,298.45,34.0
2018-09-15-08:00:00,1.82,1018.18,298.85,32.0
2018-09-15-09:00:00,2.1,1017.98,298.15,32.0
2018-09-15-10:00:00,3.93,1018.28,296.95,36.0
2018-09-15-11:00:00,3.86,1018.77,295.45,39.0
2018-09-15-12:00:00,3.34,1019.37,294.35,43.0
2018-09-15-13:00:00,2.47,1019.96,292.85,52.0
2018-09-15-14:00:00,2.07,1019.85,292.45,54.0
2018-09-15-15:00:00,1.45,1020.06,290.45,64.0
2018-09-15-16:00:00,2.3,1020.16,291.25,55.0
2018-09-15-17:00:00,2.25,1020.15,289.75,66.0
2018-09-15-18:00:00,2.52,1020.05,290.15,63.0
2018-09-15-19:00:00,2.18,1019.95,289.85,61.0
2018-09-15-20:00:00,1.96,1020.05,290.05,56.0
2018-09-15-21:00:00,0.9,1020.05,289.35,59.0
2018-09-15-22:00:00,2.92,1020.76,289.85,51.0
2018-09-15-23:00:00,3.55,1021.06,290.15,48.0
2018-09-16-00:00:01,2.6,1021.26,291.45,43.0
2018-09-16-01:00:00,4.4,1021.38,294.55,29.0
2018-09-16-02:00:00,2.9,1021.18,296.55,25.0
2018-09-16-03:00:00,2.78,1020.68,297.45,23.0
2018-09-16-04:00:00,1.77,1019.98,298.05,22.0
2018-09-16-05:00:00,1.29,1019.18,298.55,22.0
2018-09-16-06:00:00,2.22,1018.48,298.45,24.0
2018-09-16-07:00:00,1.52,1017.78,298.45,23.0
2018-09-16-08:00:00,1.57,1017.28,299.85,21.0
2018-09-16-09:00:00,2.8,1017.38,299.65,18.0
2018-09-16-10:00:00,2.27,1017.48,298.05,19.0
2018-09-16-11:00:00,2.29,1017.95,296.05,29.0
2018-09-16-12:00:00,2.98,1018.65,296.25,26.0
2018-09-16-13:00:00,2.76,1019.16,296.35,26.0
2018-09-16-14:00:00,0.96,1019.14,292.05,45.0
2018-09-16-15:00:00,2.98,1019.54,289.05,67.0
2018-09-16-16:00:00,2.23,1019.44,289.15,64.0
2018-09-16-17:00:00,2.57,1019.34,287.45,71.0
2018-09-16-18:00:00,3.22,1019.94,287.45,69.0
2018-09-16-19:00:00,2.81,1020.54,287.05,70.0
2018-09-16-20:00:00,3.3,1020.44,286.35,71.0
2018-09-16-21:00:00,2.77,1020.54,286.15,71.0
2018-09-16-22:00:00,3.8,1020.74,285.85,70.0
2018-09-16-23:00:00,3.14,1021.25,287.95,62.0
2018-09-17-00:00:01,5.06,1021.36,290.55,51.0
2018-09-17-01:00:00,3.72,1021.28,293.85,36.0
2018-09-17-02:00:00,2.8,1021.48,296.05,30.0
2018-09-17-03:00:00,2.55,1020.58,297.15,32.0
2018-09-17-04:00:00,1.6,1020.09,298.15,27.0
2018-09-17-05:00:00,1.1,1019.39,300.15,25.0
2018-09-17-06:00:00,1.29,1018.58,299.35,20.0
2018-09-17-07:00:00,1.37,1018.18,299.65,19.0
2018-09-17-08:00:00,2.4,1018.48,298.95,18.0
2018-09-17-09:00:00,1.01,1018.07,299.15,18.0
2018-09-17-10:00:00,2.2,1018.16,298.65,21.0
2018-09-17-11:00:00,4.16,1018.06,297.55,30.0
2018-09-17-12:00:00,4.1,1018.98,297.55,31.0
2018-09-17-13:00:00,2.67,1019.27,297.25,31.0
2018-09-17-14:00:00,2.23,1018.66,293.75,49.0
2018-09-17-15:00:00,1.13,1018.45,294.15,50.0
2018-09-17-16:00:00,1.89,1018.45,292.55,60.0
2018-09-17-17:00:00,2.0,1018.25,290.15,74.0
2018-09-17-18:00:00,2.75,1018.44,290.65,66.0
2018-09-17-19:00:00,2.29,1018.14,289.35,69.0
2018-09-17-20:00:00,2.84,1018.14,288.45,70.0
