data-time,wind,ap,tmp,humi
2018-03-19-08:00:00,2.67,1024.26,288.25,22.0
2018-03-19-09:00:00,3.94,1024.36,287.95,21.0
2018-03-19-10:00:00,6.35,1025.15,286.55,20.0
2018-03-19-11:00:00,5.17,1025.95,285.35,20.0
2018-03-19-12:00:00,3.21,1026.64,284.25,22.0
2018-03-19-13:00:00,2.6,1027.44,283.25,24.0
2018-03-19-14:00:00,4.71,1028.15,282.75,21.0
2018-03-19-15:00:00,4.86,1028.85,281.85,19.0
2018-03-19-16:00:00,2.76,1029.44,281.35,19.0
2018-03-19-17:00:00,2.51,1030.03,279.95,30.0
2018-03-19-18:00:00,2.71,1030.24,279.85,33.0
2018-03-19-19:00:00,1.81,1030.02,278.25,33.0
2018-03-19-20:00:00,3.9,1029.54,279.05,18.0
2018-03-19-21:00:00,4.9,1029.84,278.75,16.0
2018-03-19-22:00:00,6.22,1030.24,278.35,15.0
2018-03-19-23:00:00,5.61,1031.04,278.55,14.0
2018-03-20-00:00:01,5.8,1031.44,279.15,12.0
2018-03-20-01:00:00,6.07,1031.95,280.75,10.0
2018-03-20-02:00:00,3.16,1031.65,281.75,10.0
2018-03-20-03:00:00,2.39,1031.15,282.45,10.0
2018-03-20-04:00:00,3.04,1030.16,283.15,10.0
2018-03-20-05:00:00,2.33,1029.16,284.05,10.0
2018-03-20-06:00:00,2.08,1028.15,283.95,10.0
2018-03-20-07:00:00,2.82,1027.35,284.15,10.0
2018-03-20-08:00:00,3.75,1026.95,284.45,10.0
2018-03-20-09:00:00,3.59,1026.65,284.05,11.0
2018-03-20-10:00:00,4.43,1026.75,283.45,13.0
2018-03-20-11:00:00,5.67,1027.14,282.55,14.0
2018-03-20-12:00:00,4.29,1027.33,281.65,15.0
2018-03-20-13:00:00,5.71,1027.63,281.35,15.0
2018-03-20-14:00:00,3.02,1027.64,280.25,18.0
2018-03-20-15:00:00,3.31,1027.44,280.65,15.0
2018-03-20-16:00:00,2.35,1027.32,280.15,16.0
2018-03-20-17:00:00,3.13,1027.02,277.45,23.0
2018-03-20-18:00:00,3.14,1026.71,275.35,35.0
2018-03-20-19:00:00,3.12,1026.11,274.25,45.0
2018-03-20-20:00:00,2.36,1025.5,272.95,50.0
2018-03-20-21:00:00,1.04,1025.4,272.75,51.0
2018-03-20-22:00:00,1.13,1025.4,272.85,51.0
2018-03-20-23:00:00,1.29,1025.3,272.55,58.0
2018-03-21-00:00:01,1.76,1025.11,275.45,47.0
2018-03-21-01:00:00,1.54,1025.32,276.55,39.0
2018-03-21-02:00:00,1.39,1025.13,277.95,33.0
2018-03-21-03:00:00,2.14,1024.33,278.85,30.0
2018-03-21-04:00:00,1.9,1023.23,281.15,26.0
2018-03-21-05:00:00,2.94,1021.93,282.45,22.0
2018-03-21-06:00:00,3.26,1020.53,282.85,21.0
2018-03-21-07:00:00,2.69,1019.73,284.05,20.0
